M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24
0;0;1,085643516;0,418289275;3,485670137;0;0,016372986;0;0,08097462;0;0;0;0;3,34500082;0;2,12230869;0,182963718;0;0;2,804790358;0,350763982;3,496908068;5,920471316;0,15342558
0;0;0,86667534;0,335244227;3,311332226;0;0;0;0,043786162;0;0;0;0;2,829465893;0;1,124572709;0,146203026;0;0;2,88137287;0,13223617;2,882741706;4,939820452;0,063945128
0;0;1,199264324;0,626436128;3,014742585;0;0;0;0,160278146;0;0;0;0;1,94549336;0;0,973683422;0,11686837;0;0;1,656719209;0;1,983584194;4,406052673;0
0;0;2,708158627;0,60188122;0,872425099;0;0,853416807;0,017759147;0,484993302;1,738949897;3,553200058;0;0;2,350836315;0,309561387;0;0,094942817;0,021507127;0;0,816242443;0,085797485;0,082515773;3,558179812;2,450321728
0;0;2,525197152;0,374371804;0,62733777;0;0,970270718;0;2,965981995;2,621658529;3,835601667;0;0;0,818499857;0,205592669;0;0;0;0;0;0;0;0;1,13978761
0;0;3,14747099;0,587560343;0,99219227;0;1,642566566;0,051743916;0,402920974;2,459821692;4,354173427;0;0;2,501505464;0,497250052;0;0,02492432;0;0;0;0;0,041825086;0;2,34311514
0;0;1,047557983;0,523948481;0,178511858;0;1,407301286;0,029578969;0,339382024;2,778393283;4,440541417;0;0;3,174712432;0,410301611;0;0;0;0;0;0;0,230327351;0;3,283305951
0;0;1,882514777;0,541397634;0,393345668;0;1,640430151;0,055914361;3,018709934;2,843936767;3,905687364;0;0;2,654895353;0,396898266;0;0,025530093;0;0;0;0;0,155687353;0;3,12747832
0;0;2,260242982;0,497100458;0,421174883;0;1,939583621;0,035204985;3,080485146;2,897956949;1,287572015;0;0;2,000442806;0,256175406;0;0,106115431;0;0;0;0;0,096332897;0;2,819895272
0;0;1,885081168;4,494728611;0,521336365;0,090535476;1,500200603;0,223801911;4,787381975;2,063679319;2,933446848;0,049601802;0;2,365244698;0,575003661;0;0,443608953;0;0,142834204;0;0;0,183183576;0;2,320671935
0;0;0,267300925;4,562389543;0,097987911;0,175222466;0,569832231;0,123700473;5,431264658;0;0,079889676;0;0;0,617143728;0,086130235;0;2,781682125;0;0,433812116;0;0;0,124260555;0;3,037143693
0;0;0,333204011;4,575559488;0,125852108;0,192951457;0,828284443;0,146378292;5,547079902;0,027646092;0,196603893;0;0;1,464605805;0,171125287;0;0;0;0,022523493;0;0;0,148117619;0;3,932684638
0;0;0,272968502;4,46810788;0,098061651;0,178942713;0,530213317;0,115579322;5,367910045;0;0,097669134;0;0;0,567840833;0,028109443;0;0,004908645;0;2,061333749;0;0;0,048269813;0;3,367019601
0;0;0,357084301;4,65841733;0,133762276;0,072458106;0,630913551;0,124405435;5,346693351;0;0,220631674;0;0;1,927331626;0,199066566;0;0;0;0;0;0;0,112356851;0;2,318151885
0;0;0,412586315;4,651441038;0,112232478;0;0,349620548;0,083019031;4,933953432;0,09227557;0,182763724;0;0;2,913887362;0,177375692;0;0;0;0;0;0;0,063944117;0;0,308085674
0;0;0,310912726;4,255880782;0,036116957;0;0,232465059;0,001342063;4,099850179;0;0,062372563;0;0;1,847980538;0,162898079;0;0;0;0;0;0;0,117174743;0;0,307472195
0;0;0,529788475;4,426253675;0,160444984;0,054941959;0,169049734;0,136729886;5,361653878;0;0,089459552;0;0;3,031875687;0;0;3,69310714;0;0,329308451;0,629780465;0;0;0;0
0;0;0,562257387;4,386299509;0,11776747;0,013565605;0,092764695;0,094753634;5,037057375;0;0,047307946;0;0;2,449423217;0;0;3,601946269;0;0,508174905;2,148963471;0;0;0;0
0;0;0,462889075;4,41304288;0,148258648;0,077016321;0,161100678;0,146208209;5,482491845;0;0,09964611;0;0;2,828806137;0;0;4,5191256;0;0,77896048;3,449277776;0;0;0;0
0;0;0,435421116;4,22909736;0,114319861;0,06217102;0,125976931;0,106379336;5,350174397;0;0,085125971;0;0;2,880515035;0;0;4,43381006;0;1,732695009;2,607043897;0;0;0;0
0;0;0,649162369;0,412462749;3,383544434;0;0,060486406;0;0,086533711;0;0;0;0;3,545805787;0;1,246672186;0,422676147;0;0;2,85381249;2,109656846;2,728544855;5,175165119;0,075007241
0;0;1,628775915;0,42513418;3,408302143;0;0,038895446;0;0,080770136;0;0;0;0;3,285339338;0;1,080305733;0,228981637;0;0;1,251387709;0,153214031;2,648517433;5,301181877;0,101567063
0;0;0,826145209;0,272484251;3,214335696;0;0;0;0,014391365;0;0;0;0;2,693158132;0;0,465381657;0,147787628;0;0;2,707040146;0,1594227;2,09053655;4,390674982;0
0;0;1,094954716;0,2487218;3,107766395;0;0;0;0;0;0;0;0;2,613324046;0;0,199422925;0,133975333;0;0;2,376745185;0;0,192692693;4,410157216;0
